Textbox52,CategoryCode,CategoryName,DisplayPrice,TotalCount,SoldCount,AvailCount
"Antarctica and South Georgia Air-Cruise MAG06-AS_2023-24
Start: 11/17/2023 End: 12/3/2023
Vessel: Magellan Explorer",SGL,Single Veranda Cabin,"$26,495.00",4,4.0,0.0
"Antarctica and South Georgia Air-Cruise MAG06-AS_2023-24
Start: 11/17/2023 End: 12/3/2023
Vessel: Magellan Explorer",GRA,Grand Suite,"$26,495.00",6,6.0,0.0
"Antarctica and South Georgia Air-Cruise MAG06-AS_2023-24
Start: 11/17/2023 End: 12/3/2023
Vessel: Magellan Explorer",PEN,Penthouse Suite,"$24,495.00",3,3.0,0.0
"Antarctica and South Georgia Air-Cruise MAG06-AS_2023-24
Start: 11/17/2023 End: 12/3/2023
Vessel: Magellan Explorer",DEL,Deluxe Veranda Cabin,"$20,495.00",14,14.0,0.0
"Antarctica and South Georgia Air-Cruise MAG06-AS_2023-24
Start: 11/17/2023 End: 12/3/2023
Vessel: Magellan Explorer",VER,Veranda Cabin,"$19,495.00",6,6.0,0.0
"Antarctica and South Georgia Air-Cruise MAG06-AS_2023-24
Start: 11/17/2023 End: 12/3/2023
Vessel: Magellan Explorer",VERF,Veranda Cabin - Female Share,"$19,495.00",1,1.0,0.0
"Antarctica and South Georgia Air-Cruise MAG06-AS_2023-24
Start: 11/17/2023 End: 12/3/2023
Vessel: Magellan Explorer",POR,Porthole Cabin,"$15,995.00",4,4.0,0.0
"Antarctica and South Georgia Air-Cruise MAG06-AS_2023-24
Start: 11/17/2023 End: 12/3/2023
Vessel: Magellan Explorer",TRP,Triple Suite,"$14,995.00",1,1.0,0.0
"Antarctica and South Georgia Air-Cruise MAG06-AS_2023-24
Start: 11/17/2023 End: 12/3/2023
Vessel: Magellan Explorer",KAY,Sea Kayaking,$995.00,10,10.0,0.0
"Antarctica Express Air-Cruise MAG07-AE_2024-25 (USH-PUQ)
Start: 11/23/2024 End: 11/28/2024
Vessel: Magellan Explorer",SGL,Single Veranda Cabin,"$8,995.00",3,3.0,0.0
"Antarctica Express Air-Cruise MAG07-AE_2024-25 (USH-PUQ)
Start: 11/23/2024 End: 11/28/2024
Vessel: Magellan Explorer",PEN,Penthouse Suite,"$8,995.00",3,0.0,3.0
"Antarctica Express Air-Cruise MAG07-AE_2024-25 (USH-PUQ)
Start: 11/23/2024 End: 11/28/2024
Vessel: Magellan Explorer",SUITE,Suite,"$8,595.00",5,2.0,3.0
"Antarctica Express Air-Cruise MAG07-AE_2024-25 (USH-PUQ)
Start: 11/23/2024 End: 11/28/2024
Vessel: Magellan Explorer",DEL,Deluxe Veranda Cabin,"$7,495.00",16,2.0,14.0
"Antarctica Express Air-Cruise MAG07-AE_2024-25 (USH-PUQ)
Start: 11/23/2024 End: 11/28/2024
Vessel: Magellan Explorer",VER,Veranda Cabin,"$6,995.00",6,5.0,1.0
